id,medal_color,year,discipline
1328879354,bronze,1976,Team time trial
1331384558,gold,1996,Team competition
1331385051,gold,1996,Team competition
1156815669,gold,1996,Lightweight coxless four
1156815669,bronze,2000,Lightweight coxless four
1156815669,gold,2004,Lightweight coxless four
1156815669,gold,2008,Lightweight coxless four
1156815669,bronze,2012,Lightweight coxless four
1156815669,silver,2016,Lightweight coxless four
1303553571,silver,1920,Lightweight
1332018232,gold,1948,100 m freestyle
1332018232,silver,1948,4×100 m freestyle
1238157004,bronze,1924,"Foil, individual"
1323146494,gold,1968,Team pursuit
1327184399,bronze,1912,"Team, free system"
1327184399,silver,1906,Team competition
1260928372,bronze,1984,Coxed quad sculls
1270656832,silver,1920,Team competition
1304706724,silver,1960,Team competition
1306018336,silver,1920,"Team, swedish system"
1260903779,bronze,1948,Team competition
1306018062,silver,1912,"Team, swedish system"
1328068800,silver,1960,Flying dutchman
1328068800,bronze,1984,Soling class
1270656516,silver,1920,Team competition
1272312667,gold,1924,Lightweight
1306017183,silver,1920,"Team, swedish system"
1275663140,silver,1920,Team competition
1277826809,gold,1980,Skeet
1306018340,silver,1920,"Team, swedish system"
1288232018,gold,2024,Team competition
1330597587,bronze,1936,"Eventing, individual"
1279444696,silver,1912,6 metre class
1306018052,silver,1912,"Team, swedish system"
1306018052,silver,1920,"Team, swedish system"
1306016678,silver,1912,"Team, swedish system"
1271677032,bronze,1980,Pursuit
1296519412,silver,1908,Team competition
1306016373,silver,1906,Team competition
1276440954,bronze,1932,Tandem
1310779471,silver,1908,Team competition
1310779471,silver,1912,Team competition
1306017245,silver,1906,Team competition
1321362115,silver,1960,Team competition
1306016601,gold,1920,"Team, free system"
1270717774,bronze,1968,Coxed pair
1270326347,bronze,1948,Coxed four
1260903871,silver,1936,Coxless pair
1318144402,gold,1920,"Team, free system"
1304706731,bronze,2016,Coxless pair
1331383562,gold,1996,Team competition
1292548922,silver,1998,Team competition
1332302323,bronze,2024,Team competition
1327182699,silver,1948,Coxless four
1260903983,silver,1948,Coxless four
1305699899,bronze,2004,Yngling
1323128308,bronze,1960,K-1 4×500 m
1289293395,silver,1960,Team competition
1282671977,silver,1920,Team competition
1271093330,silver,1984,C-1 500 m
1271093330,bronze,1984,C-1 1000 m
1330052089,bronze,1964,Finn class
1331384624,gold,2004,Team competition
1326513165,gold,2000,Soling class
1304706746,bronze,1948,73 kg
1332183938,gold,2016,Team competition
1332183938,gold,2024,Team competition
1332183938,silver,2020,Team competition
1326877917,gold,2016,Team competition
1326877917,silver,2020,Team competition
1260904131,silver,1960,Team competition
1309285346,gold,1928,Individual road race
1309285346,gold,1928,Team road race
1309285346,silver,1932,Team road race
1270326350,bronze,1948,Coxed four
1329363748,silver,1920,Pole vault
1324807774,gold,1906,Team competition
1306017172,gold,1920,"Team, free system"
1310779313,silver,1912,Team competition
1289202125,gold,1906,Team competition
1306016928,bronze,1912,"Team, free system"
1306016480,bronze,1912,"Team, free system"
1317516270,bronze,1896,Sabre
1317516270,silver,1896,Free pistol
1317516270,bronze,1896,25 metre rapid fire pistol
1304706748,bronze,1948,Team competition
1306016614,gold,1920,"Team, free system"
1275663925,bronze,1968,Coxless pair
1270825912,bronze,1948,Coxed four
1281812372,silver,1948,Coxless four
1276850101,bronze,1936,200 m breaststroke
1306016307,silver,1912,"Team, swedish system"
1260904224,bronze,1948,Team competition
1271345867,silver,1912,Individual épée
1310779629,silver,1912,Team competition
1309791208,silver,2016,Lm4−
1309791208,bronze,2012,Lm4−
1319219825,silver,2020,Team competition
1304706755,silver,2016,Lm4−
1319937223,silver,2016,Elite road race
1288964650,bronze,1988,Soling class
1270325731,bronze,1992,Team pursuit
1254507837,silver,1998,Team competition
1331384430,gold,1996,Team competition
1331384430,gold,2000,Team competition
1326877396,gold,2016,Team competition
1331115134,bronze,2016,4×100 m medley
1328751630,bronze,2016,49er fx
1327305036,bronze,1992,Flying dutchman
1320063144,bronze,2004,Mixed doubles
1302756686,bronze,1912,Team free rifle
1318371463,silver,1912,"Team, swedish system"
1306017110,silver,1912,"Team, swedish system"
1306017460,silver,1920,"Team, swedish system"
1306017380,silver,1912,"Team, swedish system"
1256107806,silver,2008,Team pursuit
1331114096,gold,1992,Soling class
1331114096,gold,2000,Soling class
1331114096,bronze,1988,Soling class
1304706810,silver,2020,Skeet
1310384162,gold,2016,Team competition
1331114112,gold,1992,Soling class
1227446944,bronze,1984,Coxed quad sculls
1309286843,bronze,1992,Team pursuit
1319708365,silver,2004,Shot put
1278029334,bronze,2012,Mixed doubles
1304706817,bronze,2020,Coxless pair
1327298552,silver,1948,K-1 1000 m
1306016410,silver,1920,"Team, swedish system"
1275803801,bronze,1920,Light heavyweight
1317493718,silver,1908,Team competition
1306016664,silver,1912,"Team, swedish system"
1306018069,silver,1920,"Team, swedish system"
1260904553,bronze,1948,Team competition
1306018399,silver,1912,"Team, swedish system"
1324898367,silver,1960,Team competition
1322514922,bronze,1948,Team competition
1328245650,gold,1964,Coxless four
1321741941,bronze,1964,C-2 1000 m
1304706832,gold,2008,49er class
1331385098,gold,2004,Team competition
1294556775,silver,2020,Madison
1326877483,silver,2020,Team competition
1280807665,gold,1988,Flying dutchman
1280807665,bronze,1992,Flying dutchman
1270679179,bronze,1952,Coxed pair
1269848000,bronze,1976,Team time trial
1260904853,bronze,1948,Team competition
1306018168,silver,1912,"Team, swedish system"
1304706842,bronze,1948,Team competition
1270725954,bronze,1968,Coxed pair
1323148824,bronze,1976,Team time trial
1321310008,silver,1960,Team competition
1327307092,silver,1906,Team competition
1327741993,silver,2016,Women's doubles
1331383767,gold,2000,Team competition
1331383767,gold,2004,Team competition
1276415639,gold,1948,100 m backstroke
1276415639,silver,1948,400 m freestyle
1276415639,silver,1948,4×100 m freestyle
1228411721,gold,1948,K-1 500 m
1273545551,silver,1948,"Foil, individual"
1273545551,bronze,1952,"Foil, individual"
1331384690,gold,2000,Team competition
1331384690,gold,2004,Team competition
1322514946,bronze,1948,Team competition
1274802054,bronze,1948,Team competition
1306017332,silver,1912,"Team, swedish system"
1323147636,gold,2016,Team competition
1304706854,silver,2016,Lightweight coxless four
1304706854,bronze,2012,Lightweight coxless four
1331384176,bronze,2024,Team competition
1328883858,bronze,2016,49er fx
1331383988,gold,2000,Team competition
1331383988,gold,2004,Team competition
